otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
834e650921469c91443cf37f7141cf101c961143	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
83660ded6a93637a3aa2c7cb8a58ea35521dcf92	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
83e3be3b866ab5e291f5a100fe5b346cf05e1066	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
840095f87bcf6586d030420ffae15544a41526c9	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
84022f0f6429e10c8b5d23ba21c37c648a786205	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
841ba977963c374562a54078ee0a7a7f6503660d	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
843146f523641fb51fd691dd92013e792ecd8a7f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
843f16e82fc418c7fb68c78f61d4e98482505c86	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8486cf47c5bf3276a25b72c698b07e5e25787f1c	Eukaryota	Basidiomycota	Opisthokonta	Tremellales	Rhynchogastremaceae	Papiliotrema	Papiliotrema_terrestris
84b44ff3128862fb84d5eb3e60b13469568bb923	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
84bed38bf8b03d29f3a2d6f8ce3de08fd93898eb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
84cea3dff4d290d6f9790a1f6f23b44560037bd4	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
84f3cc2d532b1aa1973e5bc0ea466430307413da	Eukaryota	Ascomycota	dothideomyceta	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium_solani
853cf527ac85b651b39e1660bc4f963ccdcf10f9	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
85bd85f0f0a39c08484f01aef5c29863d03fef8e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
85cd570dbfa95b4d62877cb386510a0ad08334b1	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
863f11d3465362f5579428bdb8287052aadfceb5	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
869f2d53b3437feea749daab230180bdb2bbafe7	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
86d838cdbacb92ab87916345953ff49c0c3fc04f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
86e3dd2ad75b4860e82dee3143e83d15b94d18ba	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
874aae8d24a84c013cd94e4bcbc5e9bf09dde16e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8759ffd3dcc643d0a26554814f0f5598e0540f8b	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
878e97c41131e9fcca3bc05c18bc9e22a2d97192	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
87b8e12a1b30debf85ba1a28b3eca9cc9de16f7b	Eukaryota	Oomycota	Stramenopiles	Peronosporales	Peronosporaceae	Peronospora	Peronospora_belbahrii
87f1223613310de6005ca943325335a4975b9c4d	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
8807f83ae4003cd7e57c0e66ea1230ab4af5e091	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
88553deda408997237cf957eb78271df1a504bac	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
8867f3363aa788f3b97c63a9f12e89bb63e09743	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
887da4274ec530f7f3606eba07b2237c3c981fec	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
88bdd2d6ac7142310b87278a8bc4e1c08379d429	Eukaryota	Ascomycota	dothideomyceta	Pleosporales	Didymellaceae	Epicoccum	Epicoccum_nigrum
88c344e63e0a59a403a70d23c0caacaba7c04adb	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
88d439b4c8a85e689d49a34397d4753217e04f08	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
88f4f17bfc102affb572db4277585a8f2f3fac0d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
88f618a94a4b077844b0ba88831e71d1767b53e5	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
88ffdc0098c10999782844ad211fbda2d1c3332e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8922f407ef4f4f4f42e57c0ea1cee1d38fa2bd7a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
8930ea400a5e62115ef7f74a5ca4c2f1d112e16d	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
