"otu"	"superkingdom"	"phylum"	"clade"	"order"	"family"	"genus"	"species"
139944	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Chaetosphaeriales"	"Chaetosphaeriaceae"	"Chaetosphaeria"	"Chaetosphaeria_callimorpha"
5139	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Sordariales"	"unidentified"	"unidentified"	"unidentified"
38033	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Sordariales"	"Chaetomiaceae"	"Chaetomium"	"Chaetomium_globosum"
190048	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Sordariales"	"Chaetomiaceae"	"Corynascus"	"Corynascus_sepedonium"
5152	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Ophiostomatales"	"Ophiostomataceae"	"unidentified"	"unidentified"
2060696	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Ophiostomatales"	"Ophiostomataceae"	"Ophiostoma"	"Ophiostoma_tingens"
1892483	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Ophiostomatales"	"Ophiostomataceae"	"Sporothrix"	"Sporothrix_nigrograna"
1678333	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Magnaporthales"	"Magnaporthaceae"	"Gaeumannomyces"	"Gaeumannomyces_wongoonoo"
2571394	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Magnaporthales"	"Ophioceraceae"	"Ceratosphaeria"	"Ceratosphaeria_lignicola"
267694	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Phyllachorales"	"Phyllachoraceae"	"Haloguignardia"	"Haloguignardia_irritans"
37989	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"unidentified"	"unidentified"	"unidentified"
404258	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Xylaria"	"Xylaria_angulosa"
364010	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Xylaria"	"Xylaria_schweinitzii"
2689400	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Xylaria"	"Xylaria_necrophora"
1457314	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Lopadostoma"	"unidentified"
1458835	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Lopadostoma"	"Lopadostoma_insulare"
404262	"Eukaryota"	"Ascomycota"	"sordariomyceta"	"Xylariales"	"Xylariaceae"	"Geniculisynnema"	"Geniculisynnema_termiticola"
