OTU,Domain,Phylum,Class,Order,Family,Genus,Species
HM562095.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Pluteus,s__Pluteus_shikae
KJ707129.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,s__Rhodotorula_araucariae
HQ630317.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_microzygospora
KY767027.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_aizazii
LC485673.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Cordycipitaceae,g__Leptobacillium,s__Leptobacillium_symbioticum
MT756623.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Amphisphaeriaceae,g__Amphisphaeria,s__Amphisphaeria_curvaticonidia
AY285774.3,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Microbotryales,f__Microbotryaceae,g__Microbotryum,s__Microbotryum_silybum
KY421494.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Microbotryales,f__Microbotryaceae,g__Microbotryum,s__Microbotryum_alpinum
EF621928.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Microbotryales,f__Microbotryaceae,g__Microbotryum,s__Microbotryum_betonicae
AY212988.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Microbotryales,f__Microbotryaceae,g__Microbotryum,s__Microbotryum_cordae
GQ852749.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Parapenidiella,s__Parapenidiella_pseudotasmaniensis
KF901566.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Teratosphaeria,s__Teratosphaeria_calophyllae
MT551935.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Agaricaceae,g__Lepiota,s__Lepiota_phaeosticta
GQ852750.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Myrtapenidiella,s__Myrtapenidiella_tenuiramis
KF901582.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Teratosphaeriaceae,g__Teratosphaeria,s__Teratosphaeria_mareebensis
MK050394.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cystobasidiales,f__unidentified,g__Begerowomyces,s__Begerowomyces_foliicola
MK041915.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Valsaceae,g__Cytospora,s__Cytospora_rhizophorae
MN431629.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Erysiphales,f__Erysiphaceae,g__Erysiphe,s__Erysiphe_viburniphila
AB481235.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Lachnaceae,g__Albotricha,s__Albotricha_albotestacea
MH712264.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Campylocarpon,s__Campylocarpon_fasciculare
JQ044431.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__unidentified,g__Neocamarographium,s__Neocamarographium_carpini
HQ643384.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Pythiales,f__Pythiaceae,g__Phytopythium,s__Phytopythium_helicoides
KX950437.1,k__Eukaryota,p__Ascomycota,c__OSLEUM clade,o__Ostropales,f__Stictidaceae,g__Cyanodermella,s__Cyanodermella_oleoligni
KC346862.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_largentii
ON231677.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_welwitschiae
AF141134.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Physalacriaceae,g__Flammulina,s__Flammulina_elastica
EU659696.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_xanthii
AF358233.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea
AM697876.1,k__Eukaryota,p__Ascomycota,c__OSLEUM clade,o__Teloschistales,f__Teloschistaceae,g__Xanthomendoza,s__Xanthomendoza_oregana
JQ813812.1,k__Eukaryota,p__Ascomycota,c__OSLEUM clade,o__Lecanorales,f__Parmeliaceae,g__Oropogon,s__Oropogon_aff._caespitosus_Esslinger_18590_(TLE)
KX306771.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Vermiculariopsiellales,f__Vermiculariopsiellaceae,g__Vermiculariopsiella,s__Vermiculariopsiella_dichapetali
