Sample_ID	ID_S	Name	run_name	flowcell	barcode	Site_A	Site	Field	date	Year	Month	Week	DOY	SampleType	S_vesicarium	P_desttructor	B_squamosa	comments
S_05	S_5	vern_2022_5	VERN_2022_R1	FAT25084	5	VERN	D	SH-02	2022-06-14	2022	6	25	164	Field	0	0	0	
S_06	S_6	vern_2022_6	VERN_2022_R1	FAT25084	6	VERN	D	SH-02	2022-06-16	2022	6	25	166	Field	0	0	0	
S_07	S_7	vern_2022_7	VERN_2022_R1	FAT25084	7	VERN	D	SH-02	2022-06-21	2022	6	26	171	Field	0	0	0	
S_08	S_8	vern_2022_8	VERN_2022_R1	FAT25084	8	VERN	D	SH-02	2022-06-23	2022	6	26	173	Field	0	0	0	
S_09	S_9	vern_2022_9	VERN_2022_R1	FAT25084	9	VERN	D	SH-02	2022-06-26	2022	6	27	176	Field	1	0	4	
S_10	S_10	vern_2022_10	VERN_2022_R1	FAT25084	10	VERN	D	SH-02	2022-06-28	2022	6	27	178	Field	1	0	0	
S_11	S_11	vern_2022_11	VERN_2022_R1	FAT25084	11	VERN	D	SH-02	2022-06-30	2022	6	27	180	Field	0	0	0	
S_12	S_12	vern_2022_12	VERN_2022_R1	FAT25084	12	VERN	D	SH-02	2022-07-07	2022	7	28	187	Field	0	0	0	
S_13	S_13	vern_2022_13	VERN_2022_R1	FAT25084	13	VERN	D	SH-02	2022-07-10	2022	7	29	190	Field	0	20	0	
S_14	S_14	vern_2022_14	VERN_2022_R1	FAT25084	14	VERN	D	SH-02	2022-07-12	2022	7	29	192	Field	3	0	0	
S_15	S_15	vern_2022_15	VERN_2022_R1	FAT25084	15	VERN	D	SH-02	2022-07-14	2022	7	29	194	Field	5	0	0	
S_16	S_16	vern_2022_16	VERN_2022_R1	FAT25084	16	VERN	D	SH-02	2022-07-17	2022	7	30	197	Field	2	24	4	
R_17	R_17	vern_2022_17	VERN_2022_R2	FAS17070	17	VERN	D	SH-02	2022-07-19	2022	7	30	199	Field	0	12	15	
R_18	R_18	vern_2022_18	VERN_2022_R2	FAS17070	18	VERN	D	SH-02	2022-07-21	2022	7	30	201	Field	3	5	1	
